treatment_hcp_id,control_hcp_id,event_id,pre_treatment_rx,post_treatment_rx,pre_control_rx,post_control_rx,incremental_lift,incremental_lift_pct
1040239976,1073902250,EVT-0001,2142.0,2268.0,1578.0,1912.0,-208.0,-9.710550887021476
1194203331,1922102391,EVT-0001,1724.0,2036.0,818.0,676.0,454.0,26.33410672853828
1246066447,1795350721,EVT-0001,2218.0,2886.0,1046.0,1247.0,467.0,21.055004508566274
1282327174,1357524945,EVT-0001,2696.0,2982.0,4168.0,5084.0,-630.0,-23.36795252225519
1393791409,1402958817,EVT-0001,1698.0,1874.0,1957.0,1837.0,296.0,17.432273262661955
1519182780,1598661571,EVT-0001,1029.0,1295.0,2193.0,2615.0,-156.0,-15.160349854227405
1595774286,1808310134,EVT-0001,2321.0,3245.0,1560.0,2022.0,462.0,19.90521327014218
1616839134,1696806755,EVT-0001,3696.0,5353.0,1220.0,1120.0,1757.0,47.53787878787879
1690348028,1892897319,EVT-0001,1402.0,1525.0,867.0,985.0,5.0,0.3566333808844508
1944079924,1013443506,EVT-0001,2668.0,4176.0,615.0,573.0,1550.0,58.095952023988005
1993874985,1187084813,EVT-0001,2522.0,2871.0,1771.0,1772.0,348.0,13.79857256145916
1040239976,1971977354,EVT-0002,738.0,772.0,705.0,534.0,205.0,27.77777777777778
1163199601,1156551297,EVT-0002,815.0,939.0,795.0,634.0,285.0,34.96932515337423
1246066447,1630629040,EVT-0002,1154.0,1317.0,903.0,984.0,82.0,7.105719237435008
1264333323,1879821175,EVT-0002,1076.0,1605.0,702.0,746.0,485.0,45.07434944237918
1334266016,1916437647,EVT-0002,1336.0,1637.0,705.0,659.0,347.0,25.97305389221557
1335670091,1131525051,EVT-0002,1526.0,1894.0,505.0,500.0,373.0,24.442988204456096
1352578078,1308498975,EVT-0002,755.0,930.0,1036.0,990.0,221.0,29.271523178807946
1361521440,1989798412,EVT-0002,589.0,771.0,2259.0,2287.0,154.0,26.146010186757216
1394609428,1065455036,EVT-0002,1805.0,2551.0,871.0,972.0,645.0,35.73407202216066
1413519731,1458345984,EVT-0002,2572.0,3923.0,881.0,777.0,1455.0,56.57076205287714
1425610817,1149209672,EVT-0002,320.0,409.0,970.0,961.0,98.0,30.625000000000004
