treatment_hcp_id,control_hcp_id,method,event_id,event_date,target_ndc_category,specialty,region,pre_period_rx_baseline,control_pre_period_rx_baseline,is_matched,match_rank
1040239976,1073902250,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,357.0,263.0,True,1
1194203331,1922102391,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southeast,287.3333333333333,136.33333333333334,True,1
1246066447,1795350721,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southwest,369.6666666666667,174.33333333333334,True,1
1282327174,1357524945,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,449.3333333333333,694.6666666666666,True,1
1393791409,1402958817,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,283.0,326.1666666666667,True,1
1519182780,1598661571,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,171.5,365.5,True,1
1595774286,1808310134,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,386.8333333333333,260.0,True,1
1616839134,1696806755,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,616.0,203.33333333333334,True,1
1690348028,1892897319,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,233.66666666666666,144.5,True,1
1944079924,1013443506,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southeast,444.6666666666667,102.5,True,1
1993874985,1187084813,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,420.3333333333333,295.1666666666667,True,1
1040239976,1971977354,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Northeast,123.0,117.5,True,1
1163199601,1156551297,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,neurology,Southwest,135.83333333333334,132.5,True,1
1246066447,1630629040,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Southwest,192.33333333333334,150.5,True,1
1264333323,1879821175,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Northeast,179.33333333333334,117.0,True,1
1334266016,1916437647,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southwest,222.66666666666666,117.5,True,1
1335670091,1131525051,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,254.33333333333334,84.16666666666667,True,1
1352578078,1308498975,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,pulmonology,Southeast,125.83333333333333,172.66666666666666,True,1
1361521440,1989798412,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Midwest,98.16666666666667,376.5,True,1
1394609428,1065455036,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Southwest,300.8333333333333,145.16666666666666,True,1
1413519731,1458345984,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southwest,428.6666666666667,146.83333333333334,True,1
1425610817,1149209672,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southeast,53.333333333333336,161.66666666666666,True,1
1456207657,1174238463,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,170.0,97.0,True,1
1511022174,1857629178,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,150.5,68.66666666666667,True,1
1520551320,1844747141,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Northeast,169.16666666666666,177.0,True,1
1592062677,1316743925,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,neurology,Southeast,167.33333333333334,333.8333333333333,True,1
1706991829,1969108517,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Midwest,256.1666666666667,212.16666666666666,True,1
1710163217,1219516501,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,cardiology,Northeast,165.16666666666666,279.5,True,1
1717519684,1724378447,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Midwest,158.16666666666666,68.5,True,1
1725623817,1202777359,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southwest,179.5,142.0,True,1
1742100898,1934829601,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,50.833333333333336,215.33333333333334,True,1
1785764022,1850313960,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,oncology,Northeast,192.66666666666666,72.83333333333333,True,1
1811081532,1048976678,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,oncology,Northeast,209.66666666666666,185.5,True,1
1927430854,1569475654,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southeast,230.5,86.33333333333333,True,1
1993367014,1189769080,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,pulmonology,Midwest,150.33333333333334,224.83333333333334,True,1
1050506165,1407459696,random,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Southeast,226.83333333333334,125.5,True,1
1139166684,1075036339,random,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Midwest,206.16666666666666,192.83333333333334,True,1
1198262952,1731313338,random,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Northeast,515.3333333333334,120.83333333333333,True,1
1229022169,1710487228,random,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,West,124.16666666666667,111.16666666666667,True,1
