treatment_hcp_id,control_hcp_id,method,event_id,event_date,target_ndc_category,specialty,region,pre_period_rx_baseline,control_pre_period_rx_baseline,is_matched,match_rank
1040239976,1922102391,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,357.0,136.33333333333334,True,1
1194203331,1757283357,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southeast,287.3333333333333,222.16666666666666,True,1
1246066447,1739712036,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southwest,369.6666666666667,166.83333333333334,True,1
1282327174,1004478891,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,449.3333333333333,133.66666666666666,True,1
1393791409,1688735228,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,283.0,191.66666666666666,True,1
1519182780,1105435741,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,171.5,155.5,True,1
1595774286,1038582841,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,386.8333333333333,167.66666666666666,True,1
1616839134,1279507085,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,616.0,324.1666666666667,True,1
1690348028,1924221140,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,233.66666666666666,89.5,True,1
1944079924,1892897319,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southeast,444.6666666666667,144.5,True,1
1993874985,1073902250,random,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,420.3333333333333,263.0,True,1
1040239976,1599978586,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Northeast,123.0,263.1666666666667,True,1
1163199601,1596912711,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,neurology,Southwest,135.83333333333334,105.66666666666667,True,1
1246066447,1443260538,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Southwest,192.33333333333334,52.166666666666664,True,1
1264333323,1630629040,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Northeast,179.33333333333334,150.5,True,1
1334266016,1774691384,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southwest,222.66666666666666,69.83333333333333,True,1
1335670091,1494868502,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,254.33333333333334,90.5,True,1
1352578078,1798488478,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,pulmonology,Southeast,125.83333333333333,47.833333333333336,True,1
1361521440,1250017203,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Midwest,98.16666666666667,226.66666666666666,True,1
1394609428,1508064668,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Southwest,300.8333333333333,102.83333333333333,True,1
1413519731,1137408567,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southwest,428.6666666666667,405.0,True,1
1425610817,1721479586,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southeast,53.333333333333336,230.66666666666666,True,1
1456207657,1602648309,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,170.0,125.33333333333333,True,1
1511022174,1512866082,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,150.5,102.16666666666667,True,1
1520551320,1299832539,random,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Northeast,169.16666666666666,235.83333333333334,True,1
